rank,name,state_name,state_code,type,degree_length,in_state_total,out_of_state_total,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,average_cost_state,average_early_career,average_mid_career
3,Alaska Pacific University,Alaska,AK,Private,4 Year,28130,28130,50300,90000,67,6,32458.33333,54600,95500
1,University of Alaska Fairbanks,Alaska,AK,Public,4 Year,17017,33187,56000,101000,57,10,32458.33333,54600,
2,University of Alaska Anchorage,Alaska,AK,Public,4 Year,19888,36058,57500,103900,59,45,32458.33333,54600,
24,Amridge University,Alabama,AL,Private,4 Year,6900,6900,35700,65900,NA,0,29861.5,48186.36364,88345.45455
8,University of Alabama at Birmingham,Alabama,AL,Public,4 Year,17110,31030,38200,69500,NA,23,29861.5,48186.36364,
20,Alabama State University,Alabama,AL,Public,4 Year,16490,24818,39800,71500,61,16,29861.5,48186.36364,
22,University of Montevallo,Alabama,AL,Public,4 Year,22090,35110,40600,74100,77,7,29861.5,48186.36364,
12,Jacksonville State University,Alabama,AL,Public,4 Year,18525,28245,41700,74600,67,16,29861.5,48186.36364,
21,Faulkner University,Alabama,AL,Private,4 Year,29440,29440,42900,74100,53,7,29861.5,48186.36364,
9,University of South Alabama,Alabama,AL,Public,4 Year,17490,27360,44400,78200,64,6,29861.5,48186.36364,
13,Auburn University at Montgomery,Alabama,AL,Public,4 Year,17268,29028,45000,79600,61,12,29861.5,48186.36364,
15,Athens State University,Alabama,AL,Public,4 Year,6810,12870,45000,78800,51,9,29861.5,48186.36364,
19,University of Mobile,Alabama,AL,Private,4 Year,32420,32420,48500,89100,55,12,29861.5,48186.36364,
2,University of Alabama in Huntsville,Alabama,AL,Public,4 Year,20808,32456,48600,87200,57,17,29861.5,48186.36364,
14,Huntingdon College,Alabama,AL,Private,4 Year,37150,37150,49200,90900,51,18,29861.5,48186.36364,
18,University of North Alabama,Alabama,AL,Public,4 Year,19570,27880,49900,91600,55,23,29861.5,48186.36364,
6,Spring Hill College,Alabama,AL,Private,4 Year,52926,52926,50200,85400,52,24,29861.5,48186.36364,
15,Oakwood University,Alabama,AL,Private,4 Year,26032,26032,51300,93300,49,19,29861.5,48186.36364,
5,Samford University,Alabama,AL,Private,4 Year,42200,42200,53000,93900,50,6,29861.5,48186.36364,
17,University of West Alabama,Alabama,AL,Public,4 Year,18156,26606,53200,99400,50,22,29861.5,48186.36364,
1,Auburn University,Alabama,AL,Public,4 Year,24608,43856,54400,104500,51,31,29861.5,48186.36364,
11,Troy University,Alabama,AL,Public,4 Year,20645,31060,54900,102900,46,27,29861.5,48186.36364,
4,Tuskegee University,Alabama,AL,Private,4 Year,31820,31820,65200,118100,49,25,29861.5,48186.36364,
23,Judson College,Alabama,AL,Private,4 Year,29100,29100,67200,117100,57,31,29861.5,48186.36364,
3,Millsaps College,Mississippi,AL,Private,4 Year,18646,18646,41200,74900,63,5,29861.5,48186.36364,
18,Central Baptist College,Arkansas,AR,Private,4 Year,23700,23700,36900,68000,NA,3,28629.1875,47150,85293.75
14,University of the Ozarks,Arkansas,AR,Private,4 Year,31630,31630,39800,73800,63,8,28629.1875,47150,
3,University of Arkansas for Medical Sciences,Arkansas,AR,Public,4 Year,8197,15973,40500,70500,67,22,28629.1875,47150,
2,Hendrix College,Arkansas,AR,Private,4 Year,58074,58074,42900,79800,57,5,28629.1875,47150,
17,University of Arkansas at Pine Bluff,Arkansas,AR,Public,4 Year,15723,21975,43500,78300,61,2,28629.1875,47150,
19,Philander Smith College,Arkansas,AR,Private,4 Year,20664,20664,44200,78000,51,4,28629.1875,47150,
13,Arkansas Tech University,Arkansas,AR,Public,4 Year,16938,23718,45000,76900,54,7,28629.1875,47150,
12,University of Arkansas at Monticello,Arkansas,AR,Public,4 Year,14520,20370,45600,80800,55,13,28629.1875,47150,
15,Lyon College,Arkansas,AR,Private,4 Year,37920,37920,46100,85000,45,2,28629.1875,47150,
4,Harding University,Arkansas,AR,Private,4 Year,27179,27179,47500,85100,53,24,28629.1875,47150,
10,University of Central Arkansas,Arkansas,AR,Public,4 Year,15605,22128,49900,93600,59,31,28629.1875,47150,
10,Henderson State University,Arkansas,AR,Public,4 Year,15940,17590,52200,93500,56,15,28629.1875,47150,
7,University of Arkansas at Little Rock,Arkansas,AR,Public,4 Year,17896,30136,52500,98000,49,18,28629.1875,47150,
5,John Brown University,Arkansas,AR,Private,4 Year,36152,36152,55500,97600,86,1,28629.1875,47150,
1,University of Arkansas,Arkansas,AR,Public,4 Year,20150,36188,56100,101000,51,23,28629.1875,47150,
8,Ouachita Baptist University,Arkansas,AR,Private,4 Year,34670,34670,56200,104800,53,34,28629.1875,47150,
5,Arizona Christian University,Arizona,AZ,Private,4 Year,37470,37470,42600,76600,NA,7,40425.25,53250,94500
7,Prescott College,Arizona,AZ,Private,4 Year,39185,39185,48800,89900,57,14,40425.25,53250,
2,University of Arizona,Arizona,AZ,Public,4 Year,25037,48936,59100,101800,54,20,40425.25,53250,
4,Northern Arizona University,Arizona,AZ,Public,4 Year,21846,36110,62500,109700,46,40,40425.25,53250,
13,Pomona College,California,CA,Private,4 Year,69496,69496,47000,82200,50,6,57266.46667,56713.33333,101773.3333
11,University of Southern California,California,CA,Private,4 Year,71620,71620,47500,87900,56,8,57266.46667,56713.33333,
17,San Jose State University,California,CA,Public,4 Year,24238,33742,48400,90500,52,3,57266.46667,56713.33333,
1,Harvey Mudd College,California,CA,Private,4 Year,75003,75003,49200,88600,47,10,57266.46667,56713.33333,
21,Saint Mary's College of California,California,CA,Private,4 Year,62650,62650,49700,89300,54,15,57266.46667,56713.33333,
25,University of San Diego,California,CA,Private,4 Year,62338,62338,49900,88800,63,9,57266.46667,56713.33333,
4,Stanford University,California,CA,Private,4 Year,67117,67117,52900,95300,61,17,57266.46667,56713.33333,
20,Menlo College,California,CA,Private,4 Year,57025,57025,54800,92700,88,6,57266.46667,56713.33333,
23,University of San Francisco,California,CA,Private,4 Year,62896,62896,58900,109400,48,12,57266.46667,56713.33333,
6,Santa Clara University,California,CA,Private,4 Year,66621,66621,63000,114700,53,28,57266.46667,56713.33333,
9,Claremont McKenna College,California,CA,Private,4 Year,71110,71110,68500,125400,43,16,57266.46667,56713.33333,
5,Charles R Drew University of Medicine and Science,California,CA,Private,4 Year,17440,17440,78300,135700,NA,3,57266.46667,56713.33333,
3,California Institute of Technology,California,CA,Private,4 Year,67887,67887,84100,151600,53,97,57266.46667,56713.33333,
25,Lindsey Wilson College,Kentucky,CA,Private,4 Year,11040,11040,45100,78500,48,9,57266.46667,56713.33333,
5,Loyola University Maryland,Maryland,CA,Private,4 Year,63012,63012,53400,96000,45,15,57266.46667,56713.33333,
16,Adams State University,Colorado,CO,Public,4 Year,18222,29238,44400,81400,56,3,39578.42857,52578.57143,94635.71429
14,Western State Colorado University,Colorado,CO,Public,4 Year,19749,31221,44500,79300,50,5,39578.42857,52578.57143,
19,Nazarene Bible College,Colorado,CO,Private,4 Year,14700,14700,44800,79900,56,9,39578.42857,52578.57143,
13,Fort Lewis College,Colorado,CO,Public,4 Year,18918,29574,45100,79300,64,6,39578.42857,52578.57143,
17,Colorado Christian University,Colorado,CO,Private,4 Year,43712,43712,46800,80100,70,2,39578.42857,52578.57143,
12,University of Northern Colorado,Colorado,CO,Public,4 Year,20990,32678,47300,85600,51,8,39578.42857,52578.57143,
14,Colorado Mesa University,Colorado,CO,Public,4 Year,20168,33365,47800,81500,55,7,39578.42857,52578.57143,
11,Metropolitan State University of Denver,Colorado,CO,Public,4 Year,7665,20847,50200,85900,53,11,39578.42857,52578.57143,
5,Colorado College,Colorado,CO,Private,4 Year,67982,67982,53100,97900,48,23,39578.42857,52578.57143,
8,Regis University,Colorado,CO,Private,4 Year,48370,48370,56100,104900,44,26,39578.42857,52578.57143,
9,University of Colorado Colorado Springs,Colorado,CO,Public,4 Year,20963,35393,57800,109900,48,39,39578.42857,52578.57143,
4,University of Denver,Colorado,CO,Private,4 Year,63561,63561,58600,105400,43,22,39578.42857,52578.57143,
3,University of Colorado Boulder,Colorado,CO,Public,4 Year,26950,51704,64000,114200,41,22,39578.42857,52578.57143,
1,Colorado School of Mines,Colorado,CO,Public,4 Year,32133,51753,75600,139600,60,93,39578.42857,52578.57143,
9,Sacred Heart University,Connecticut,CT,Private,4 Year,56730,56730,34800,62400,76,32,49040.73684,51347.36842,91689.47368
15,Western Connecticut State University,Connecticut,CT,Public,4 Year,23891,35131,44700,77700,58,8,49040.73684,51347.36842,
3,Wesleyan University,Connecticut,CT,Private,4 Year,69974,69974,45400,77300,50,2,49040.73684,51347.36842,
1,Yale University,Connecticut,CT,Private,4 Year,69430,69430,46700,88200,63,35,49040.73684,51347.36842,
20,Southern Connecticut State University,Connecticut,CT,Public,4 Year,23735,34975,47500,84000,67,9,49040.73684,51347.36842,
17,Eastern Connecticut State University,Connecticut,CT,Public,4 Year,24916,36156,49200,87800,43,14,49040.73684,51347.36842,
18,Charter Oak State College,Connecticut,CT,Public,4 Year,10161,13101,49200,85900,68,2,49040.73684,51347.36842,
10,Quinnipiac University,Connecticut,CT,Private,4 Year,62500,62500,49400,86600,48,9,49040.73684,51347.36842,
18,Albertus Magnus College,Connecticut,CT,Private,4 Year,45260,45260,49700,85900,62,2,49040.73684,51347.36842,
13,University of Bridgeport,Connecticut,CT,Private,4 Year,46710,46710,51000,89600,56,2,49040.73684,51347.36842,
11,University of New Haven,Connecticut,CT,Private,4 Year,55170,55170,51900,90900,50,32,49040.73684,51347.36842,
6,University of Connecticut,Connecticut,CT,Public,4 Year,28604,50972,52200,90900,53,21,49040.73684,51347.36842,
12,Central Connecticut State University,Connecticut,CT,Public,4 Year,22792,34032,53100,93700,45,15,49040.73684,51347.36842,
7,University of Hartford,Connecticut,CT,Private,4 Year,53170,53170,54400,100700,45,14,49040.73684,51347.36842,
5,Trinity College,Connecticut,CT,Private,4 Year,71660,71660,55100,100300,56,26,49040.73684,51347.36842,
8,Connecticut College,Connecticut,CT,Private,4 Year,69970,69970,57500,100800,36,30,49040.73684,51347.36842,
14,University of Saint Joseph,Connecticut,CT,Private,4 Year,50601,50601,61100,112700,50,32,49040.73684,51347.36842,
4,Fairfield University,Connecticut,CT,Private,4 Year,63060,63060,62300,116900,41,17,49040.73684,51347.36842,
13,Midland University,Nebraska,CT,Public,2 Year,4404,13172,60400,109800,54,19,49040.73684,51347.36842,
2,Goldey-Beacom College,Delaware,DE,Private,4 Year,30700,30700,42700,76900,NA,0,31259.8,55320,100800
3,Delaware State University,Delaware,DE,Public,4 Year,20058,29094,46300,81900,62,10,31259.8,55320,
1,University of Delaware,Delaware,DE,Public,4 Year,26542,47172,57400,105000,44,33,31259.8,55320,
4,Wesley College,Delaware,DE,Private,4 Year,38123,38123,62700,112700,53,39,31259.8,55320,
5,Wilmington University,Delaware,DE,Private,4 Year,11210,11210,67500,127500,47,32,31259.8,55320,
18,Rollins College,Florida,FL,Private,4 Year,64495,64495,41400,73800,48,11,42760.94444,47688.88889,85733.33333
22,Lynn University,Florida,FL,Private,4 Year,50380,50380,41500,75100,49,8,42760.94444,47688.88889,
21,Stetson University,Florida,FL,Private,4 Year,59082,59082,42700,79100,73,7,42760.94444,47688.88889,
12,Jacksonville University,Florida,FL,Private,4 Year,50750,50750,43800,80000,61,7,42760.94444,47688.88889,
16,University of Central Florida,Florida,FL,Public,4 Year,15985,32084,44900,79800,52,8,42760.94444,47688.88889,
25,Florida Agricultural and Mechanical University,Florida,FL,Public,4 Year,16421,28362,45300,83600,53,39,42760.94444,47688.88889,
20,New College of Florida,Florida,FL,Public,4 Year,16183,39208,45700,80500,60,8,42760.94444,47688.88889,
6,University of Miami,Florida,FL,Private,4 Year,64334,64334,47200,85800,55,12,42760.94444,47688.88889,
24,Barry University,Florida,FL,Private,4 Year,40950,40950,47400,84400,66,12,42760.94444,47688.88889,
11,Florida Atlantic University,Florida,FL,Public,4 Year,17935,33491,48000,83900,62,8,42760.94444,47688.88889,
14,Nova Southeastern University,Florida,FL,Private,4 Year,44150,44150,48300,86400,58,3,42760.94444,47688.88889,
17,Eckerd College,Florida,FL,Private,4 Year,57128,57128,49200,88400,52,25,42760.94444,47688.88889,
3,Florida Institute of Technology,Florida,FL,Private,4 Year,54730,54730,49400,91200,51,15,42760.94444,47688.88889,
8,Florida State University,Florida,FL,Public,4 Year,17332,32499,49600,90100,51,16,42760.94444,47688.88889,
4,University of Florida,Florida,FL,Public,4 Year,16501,38778,50300,89900,54,17,42760.94444,47688.88889,
14,Adventist University of Health Sciences,Florida,FL,Private,4 Year,19350,19350,51600,89800,88,5,42760.94444,47688.88889,
19,University of North Florida,Florida,FL,Public,4 Year,16370,30088,53800,96000,54,16,42760.94444,47688.88889,
13,Florida International University,Florida,FL,Public,4 Year,17440,29838,58300,105400,53,48,42760.94444,47688.88889,
4,Morehouse College,Georgia,GA,Private,4 Year,41012,41012,41300,74900,56,9,37921.68182,49368.18182,89925
15,University of West Georgia,Georgia,GA,Public,4 Year,18210,31692,42700,76100,61,4,37921.68182,49368.18182,
25,Columbus State University,Georgia,GA,Public,4 Year,17080,30562,43300,77900,59,10,37921.68182,49368.18182,
24,Covenant College,Georgia,GA,Private,4 Year,44590,44590,44400,79400,62,19,37921.68182,49368.18182,
10,Spelman College,Georgia,GA,Private,4 Year,43179,43179,44800,79200,71,0,37921.68182,49368.18182,
12,Berry College,Georgia,GA,Private,4 Year,49326,49326,44900,84900,44,21,37921.68182,49368.18182,
8,Georgia Southern University,Georgia,GA,Public,4 Year,17492,30974,45000,81900,54,10,37921.68182,49368.18182,
14,Agnes Scott College,Georgia,GA,Private,4 Year,53490,53490,46000,83600,57,26,37921.68182,49368.18182,
23,Middle Georgia State University,Georgia,GA,Public,4 Year,13688,22648,46200,78500,60,1,37921.68182,49368.18182,
18,Clark Atlanta University,Georgia,GA,Private,4 Year,32960,32960,46300,81100,54,15,37921.68182,49368.18182,
16,Armstrong State University,Georgia,GA,Public,4 Year,17769,31251,46600,81500,60,10,37921.68182,49368.18182,
13,Augusta University,Georgia,GA,Public,4 Year,20398,39436,47000,84400,69,10,37921.68182,49368.18182,
22,Shorter University,Georgia,GA,Private,4 Year,31770,31770,47100,87100,48,12,37921.68182,49368.18182,
9,University of North Georgia,Georgia,GA,Public,4 Year,15212,29024,48800,86600,51,11,37921.68182,49368.18182,
5,Kennesaw State University,Georgia,GA,Public,4 Year,18899,32625,48900,83600,49,8,37921.68182,49368.18182,
7,Georgia State University,Georgia,GA,Public,4 Year,22236,40810,49000,88000,49,17,37921.68182,49368.18182,
19,Valdosta State University,Georgia,GA,Public,4 Year,15586,29068,51100,90600,57,12,37921.68182,49368.18182,
6,Oglethorpe University,Georgia,GA,Private,4 Year,51300,51300,53100,96800,47,21,37921.68182,49368.18182,
3,University of Georgia,Georgia,GA,Public,4 Year,21868,40442,55800,102800,52,29,37921.68182,49368.18182,
11,Mercer University,Georgia,GA,Private,4 Year,48510,48510,61900,112400,59,0,37921.68182,49368.18182,
2,Emory University,Georgia,GA,Private,4 Year,28428,28428,62000,110800,44,20,37921.68182,49368.18182,
21,Savannah College of Art and Design,Georgia,GA,Private,4 Year,51180,51180,69900,134700,44,29,37921.68182,49368.18182,
3,University of Hawaii at Manoa,Hawaii,HI,Public,4 Year,25659,47691,44000,77200,59,14,34341.4,51120,
4,Chaminade University of Honolulu,Hawaii,HI,Private,4 Year,39004,39004,45400,84000,55,3,34341.4,51120,
1,Brigham Young University-Hawaii,Hawaii,HI,Private,4 Year,12146,12146,51700,93900,57,12,34341.4,51120,
5,University of Hawaii at Hilo,Hawaii,HI,Public,4 Year,19126,32086,55200,101600,53,15,34341.4,51120,
2,Hawaii Pacific University,Hawaii,HI,Private,4 Year,40780,40780,59300,112300,47,36,34341.4,51120,
22,Mount Mercy University,Iowa,IA,Private,4 Year,41332,41332,41400,76500,67,5,42712.63636,49245.45455,
4,Grinnell College,Iowa,IA,Private,4 Year,65202,65202,42000,75200,57,2,42712.63636,49245.45455,
20,Clarke University,Iowa,IA,Private,4 Year,42950,42950,44900,80200,52,6,42712.63636,49245.45455,
13,Coe College,Iowa,IA,Private,4 Year,54480,54480,47200,86900,41,24,42712.63636,49245.45455,
3,University of Iowa,Iowa,IA,Public,4 Year,20439,42405,47300,84500,55,5,42712.63636,49245.45455,
15,University of Northern Iowa,Iowa,IA,Public,4 Year,17886,28428,47700,87100,52,7,42712.63636,49245.45455,
14,Luther College,Iowa,IA,Private,4 Year,51750,51750,47900,88600,47,4,42712.63636,49245.45455,
1,Iowa State University,Iowa,IA,Public,4 Year,17708,32112,47900,85600,55,8,42712.63636,49245.45455,
9,Central College,Iowa,IA,Private,4 Year,47575,47575,49000,88800,55,36,42712.63636,49245.45455,
12,Wartburg College,Iowa,IA,Private,4 Year,51276,51276,49400,85200,42,5,42712.63636,49245.45455,
6,Cornell College,Iowa,IA,Private,4 Year,51683,51683,49600,90600,47,22,42712.63636,49245.45455,
23,William Penn University,Iowa,IA,Private,4 Year,32552,32552,50500,90200,44,7,42712.63636,49245.45455,
18,Northwestern College,Iowa,IA,Private,4 Year,40300,40300,50900,89000,51,3,42712.63636,49245.45455,
8,Dordt College,Iowa,IA,Private,4 Year,40460,40460,51000,89600,57,17,42712.63636,49245.45455,
5,Allen College,Iowa,IA,Private,4 Year,27252,27252,51600,91300,NA,0,42712.63636,49245.45455,
21,University of Dubuque,Iowa,IA,Private,4 Year,44040,44040,51800,92800,57,13,42712.63636,49245.45455,
24,Upper Iowa University,Iowa,IA,Private,4 Year,38904,38904,52400,98800,58,25,42712.63636,49245.45455,
2,Drake University,Iowa,IA,Private,4 Year,51924,51924,52800,99900,49,7,42712.63636,49245.45455,
16,Maharishi University of Management,Iowa,IA,Private,4 Year,23930,23930,53600,100400,51,31,42712.63636,49245.45455,
11,Simpson College,Iowa,IA,Private,4 Year,47524,47524,54000,95500,39,2,42712.63636,49245.45455,
19,Morningside College,Iowa,IA,Private,4 Year,41140,41140,55700,98700,58,26,42712.63636,49245.45455,
3,Louisiana Tech University,Louisiana,IA,Private,4 Year,42459,42459,44800,79800,58,4,42712.63636,49245.45455,
3,Idaho State University,Idaho,ID,Public,4 Year,14627,30147,43300,77600,52,1,28536.83333,49066.66667,
6,Northwest Nazarene University,Idaho,ID,Private,4 Year,36700,36700,46900,85100,50,26,28536.83333,49066.66667,
7,Lewis-Clark State College,Idaho,ID,Public,4 Year,14198,26816,49700,89800,53,14,28536.83333,49066.66667,
4,Boise State University,Idaho,ID,Public,4 Year,18386,34468,50100,86400,55,14,28536.83333,49066.66667,
1,University of Idaho,Idaho,ID,Public,4 Year,16744,34380,50700,94800,48,29,28536.83333,49066.66667,
2,Brigham Young University-Idaho,Idaho,ID,Private,4 Year,8710,8710,53700,93500,59,14,28536.83333,49066.66667,
2,Northwestern University,Illinois,IL,For Profit,2 Year,30887,30887,42200,76800,55,11,44244.3,54780,
4,University of Chicago,Illinois,IL,Private,4 Year,74580,74580,44600,81900,51,4,44244.3,54780,
19,North Central College,Illinois,IL,Private,4 Year,49899,49899,45300,78800,62,8,44244.3,54780,
18,Lakeview College of Nursing,Illinois,IL,Private,4 Year,16320,16320,45900,83500,48,14,44244.3,54780,
14,Northern Illinois University,Illinois,IL,Public,4 Year,23142,23142,49600,90000,56,12,44244.3,54780,
25,Lewis University,Illinois,IL,Private,4 Year,43028,43028,50000,93200,51,12,44244.3,54780,
1,Illinois Institute of Technology,Illinois,IL,Private,4 Year,60058,60058,50800,91800,64,12,44244.3,54780,
5,Rush University,Illinois,IL,Private,4 Year,24900,24900,51100,91200,43,21,44244.3,54780,
12,Illinois Wesleyan University,Illinois,IL,Private,4 Year,58620,58620,51200,95000,47,10,44244.3,54780,
7,University of Illinois at Chicago,Illinois,IL,Public,4 Year,25838,39054,52300,97700,54,22,44244.3,54780,
