rank,name,state_name,state_code,type,degree_length,in_state_total,out_of_state_total,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,Color,tuition_increase,salary_increase,position
23,New Orleans Baptist Theological Seminary,Louisiana,LA,Private,4 Year,10400,10400,33900,61500,NA,0,#4169E1,100%,55%,
13,New York University,New-York,NY,Private,4 Year,69984,69984,63100,117700,42,18,#4169E1,100%,54%,
19,Newberry College,South-Carolina,SC,Private,4 Year,37090,37090,41200,74700,54,14,#4169E1,100%,55%,
6,Newman University,Kansas,KS,Private,4 Year,39050,39050,48000,88500,66,11,#4169E1,100%,54%,
14,Nicholls State University,Louisiana,LA,Public,4 Year,17920,19013,44500,84300,53,5,#CD853F,94%,53%,
21,North Carolina Wesleyan College,North-Carolina,NC,Private,4 Year,41800,41800,45300,78800,62,8,#4169E1,100%,57%,
19,North Central College,Illinois,IL,Private,4 Year,49899,49899,50400,92900,45,9,#4169E1,100%,54%,
16,Northeastern State University,Oklahoma,OK,Public,4 Year,14288,22358,44500,77600,58,7,#CD853F,64%,57%,
16,Northeastern University,Massachusetts,MA,Private,4 Year,68267,68267,62500,109700,46,40,#4169E1,100%,57%,
4,Northern Arizona University,Arizona,AZ,Public,4 Year,21846,36110,49600,90000,56,12,#CD853F,60%,55%,
14,Northern Illinois University,Illinois,IL,Public,4 Year,23142,23142,53000,95500,47,20,#CD853F,100%,55%,
6,Northern Kentucky University,Kentucky,KY,Public,4 Year,20054,29702,49000,87400,46,12,#CD853F,68%,56%,
7,Northern State University,South-Dakota,SD,Public,4 Year,16527,19500,42300,77700,56,7,#CD853F,85%,54%,
17,Northwest Christian University,Oregon,OR,Private,4 Year,39350,39350,45200,81100,62,5,#4169E1,100%,56%,
13,Northwest Missouri State University,Missouri,MO,Public,4 Year,19821,26473,46900,85100,50,26,#CD853F,75%,55%,
6,Northwest Nazarene University,Idaho,ID,Private,4 Year,36700,36700,46200,80600,68,7,#4169E1,100%,57%,
16,Northwest University,Washington,WA,Private,4 Year,40170,40170,50900,89000,51,3,#4169E1,100%,57%,
18,Northwestern College,Iowa,IA,Private,4 Year,40300,40300,44800,82400,42,11,#4169E1,100%,54%,
18,Northwestern Oklahoma State University,Oklahoma,OK,Public,4 Year,11816,18933,42200,76800,55,11,#CD853F,62%,55%,
2,Northwestern University,Illinois,IL,Private,4 Year,71193,71193,63400,115400,46,20,#4169E1,100%,55%,
3,Norwich University,Vermont,VT,Private,4 Year,53856,53856,57000,99100,51,20,#4169E1,100%,58%,
23,Notre Dame of Maryland University,Maryland,MD,Private,4 Year,48750,48750,48300,86400,58,3,#4169E1,100%,56%,
14,Nova Southeastern University,Florida,FL,Private,4 Year,44150,44150,50200,89800,60,9,#4169E1,100%,56%,
9,Oakland University,Michigan,MI,Public,4 Year,22706,34330,51300,93300,49,19,#CD853F,66%,55%,
15,Oakwood University,Alabama,AL,Private,4 Year,26032,26032,43500,78800,71,16,#4169E1,100%,55%,
13,Oberlin College,Ohio,OH,Private,4 Year,71392,71392,53100,96800,47,21,#4169E1,100%,55%,
6,Oglethorpe University,Georgia,GA,Private,4 Year,51300,51300,52400,91400,50,12,#4169E1,100%,57%,
6,Ohio Northern University,Ohio,OH,Private,4 Year,43910,43910,54400,103900,49,22,#4169E1,100%,52%,
16,Ohio Valley University,West-Virginia,WV,Private,4 Year,29880,29880,38800,71100,81,1,#4169E1,100%,55%,
9,Ohio Wesleyan University,Ohio,OH,Private,4 Year,58190,58190,51300,99200,46,21,#4169E1,100%,52%,
19,Oklahoma Baptist University,Oklahoma,OK,Private,4 Year,35608,35608,43900,76600,62,8,#4169E1,100%,57%,
7,Oklahoma Christian University,Oklahoma,OK,Private,4 Year,30950,30950,49700,87900,57,41,#4169E1,100%,57%,
7,Oklahoma City University,Oklahoma,OK,Private,4 Year,39922,39922,47700,87900,58,9,#4169E1,100%,54%,
20,Oklahoma Panhandle State University,Oklahoma,OK,Public,4 Year,12889,13828,42300,74400,54,10,#CD853F,93%,57%,
15,Oklahoma Wesleyan University,Oklahoma,OK,Private,4 Year,35600,35600,43300,78700,58,1,#4169E1,100%,55%,
14,Old Dominion University,Virginia,VA,Public,4 Year,22492,41392,50200,89900,52,19,#CD853F,54%,56%,
9,Oral Roberts University,Oklahoma,OK,Private,4 Year,37178,37178,45900,85100,59,8,#4169E1,100%,54%,
1,Oregon Health & Science University,Oregon,OR,Public,4 Year,19176,33666,65400,108300,79,10,#CD853F,57%,60%,
2,Oregon Institute of Technology,Oregon,OR,Public,4 Year,19045,37114,61200,106800,60,27,#CD853F,51%,57%,
5,Oregon State University,Oregon,OR,Public,4 Year,24021,42996,56200,104800,53,34,#CD853F,56%,54%,
8,Ouachita Baptist University,Arkansas,AR,Private,4 Year,34670,34670,44100,80200,58,18,#4169E1,100%,55%,
10,Pacific Lutheran University,Washington,WA,Private,4 Year,52856,52856,54500,98100,53,20,#4169E1,100%,56%,
15,Pacific Northwest College of Art,Oregon,OR,Private,4 Year,51110,51110,46300,85000,NA,0,#4169E1,100%,54%,
8,Pacific University,Oregon,OR,Private,4 Year,56826,56826,50200,94000,66,8,#4169E1,100%,53%,
14,Park University,Missouri,MO,Private,4 Year,20850,20850,48500,85000,56,7,#4169E1,100%,57%,
17,Peru State College,Nebraska,NE,Public,4 Year,15462,15492,42600,74800,50,6,#CD853F,100%,57%,
23,Pfeiffer University,North-Carolina,NC,Private,4 Year,41460,41460,44200,78000,51,4,#4169E1,100%,57%,
19,Philander Smith College,Arkansas,AR,Private,4 Year,20664,20664,34600,61200,NA,26,#4169E1,100%,57%,
8,Pittsburg State University,Kansas,KS,Public,4 Year,15076,26420,47100,84900,51,8,#CD853F,57%,55%,
12,Plymouth State University,New-Hampshire,NH,Public,4 Year,25199,33869,47000,82200,50,6,#CD853F,74%,57%,
13,Pomona College,California,CA,Private,4 Year,69496,69496,63800,117200,47,37,#4169E1,100%,54%,
12,Portland State University,Oregon,OR,Public,4 Year,19533,37488,50800,90500,48,16,#CD853F,52%,56%,
17,Prairie View A&M University,Texas,TX,Public,4 Year,19458,33768,57800,99400,65,22,#CD853F,58%,58%,
6,Presbyterian College,South-Carolina,SC,Private,4 Year,49140,49140,48800,89900,57,14,#4169E1,100%,54%,
7,Prescott College,Arizona,AZ,Private,4 Year,39185,39185,41200,73500,69,0,#4169E1,100%,56%,
2,Princeton University,New-Jersey,NJ,Private,4 Year,65620,65620,75200,139400,48,48,#4169E1,100%,54%,
17,Principia College,Illinois,IL,Private,4 Year,41080,41080,52600,94900,56,19,#4169E1,100%,55%,
3,Providence College,Rhode-Island,RI,Private,4 Year,65090,65090,58900,106900,44,11,#4169E1,100%,55%,
9,Queens University of Charlotte,North-Carolina,NC,Private,4 Year,45544,45544,49400,86600,48,9,#4169E1,100%,57%,
10,Quinnipiac University,Connecticut,CT,Private,4 Year,62500,62500,55900,97700,46,10,#4169E1,100%,57%,
22,Radford University,Virginia,VA,Public,4 Year,20616,32251,48900,82900,53,10,#CD853F,64%,59%,
15,Ramapo College of New Jersey,New-Jersey,NJ,Public,4 Year,26824,36165,51600,95200,41,12,#CD853F,74%,54%,
19,Randolph College,Virginia,VA,Private,4 Year,53165,53165,47000,86100,50,23,#4169E1,100%,55%,
3,Reed College,Oregon,OR,Private,4 Year,70550,70550,56100,104900,44,26,#4169E1,100%,53%,
8,Regis University,Colorado,CO,Private,4 Year,48370,48370,55500,94800,58,13,#4169E1,100%,59%,
6,Rensselaer Polytechnic Institute,New-York,NY,Private,4 Year,69140,69140,71300,134100,49,78,#4169E1,100%,53%,
9,Rhode Island College,Rhode-Island,RI,Public,4 Year,20758,33521,47200,83500,52,5,#CD853F,62%,57%,
4,Rhode Island School of Design,Rhode-Island,RI,Private,4 Year,64360,64360,55500,100600,39,0,#4169E1,100%,55%,
2,Rhodes College,Tennessee,TN,Private,4 Year,59293,59293,51900,97800,46,25,#4169E1,100%,53%,
1,Rice University,Texas,TX,Private,4 Year,61350,61350,71000,129500,50,45,#4169E1,100%,55%,
8,Rider University,New-Jersey,NJ,Private,4 Year,56010,56010,51600,99000,47,5,#4169E1,100%,52%,
10,Ripon College,Wisconsin,WI,Private,4 Year,52208,52208,46300,89600,60,26,#4169E1,100%,52%,
8,Rivier University,New-Hampshire,NH,Private,4 Year,44316,44316,49500,85100,58,41,#4169E1,100%,58%,
20,Roanoke College,Virginia,VA,Private,4 Year,57720,57720,48500,85100,53,18,#4169E1,100%,57%,
7,Rockhurst University,Missouri,MO,Private,4 Year,47790,47790,54000,92500,59,11,#4169E1,100%,58%,
5,Rocky Mountain College,Montana,MT,Private,4 Year,36842,36842,46000,82900,59,12,#4169E1,100%,55%,
8,Roger Williams University,Rhode-Island,RI,Private,4 Year,50412,50412,52900,92700,48,12,#4169E1,100%,57%,
22,Rogers State University,Oklahoma,OK,Public,4 Year,15486,23826,41400,73800,48,11,#CD853F,65%,56%,
18,Rollins College,Florida,FL,Private,4 Year,64495,64495,49000,87000,53,7,#4169E1,100%,56%,
1,Rose-Hulman Institute of Technology,Indiana,IN,Private,4 Year,64637,64637,75000,135800,51,96,#4169E1,100%,55%,
20,Rowan University,New-Jersey,NJ,Public,4 Year,26249,34891,51100,91200,43,21,#CD853F,75%,56%,
5,Rush University,Illinois,IL,Private,4 Year,24900,24900,63500,107600,88,6,#4169E1,100%,59%,
13,Rust College,Mississippi,MS,Private,4 Year,14200,14200,34800,62400,76,32,#4169E1,100%,56%,
9,Sacred Heart University,Connecticut,CT,Private,4 Year,56730,56730,55000,100500,46,15,#4169E1,100%,55%,
25,Saginaw Valley State University,Michigan,MI,Public,4 Year,20494,34401,46400,82200,54,12,#CD853F,60%,56%,
2,Saint Anselm College,New-Hampshire,NH,Private,4 Year,55700,55700,56400,100300,59,11,#4169E1,100%,56%,
11,Saint Cloud State University,Minnesota,MN,Public,4 Year,17812,26046,51600,91600,50,15,#CD853F,68%,56%,
7,Saint Joseph's College of Maine,Maine,ME,Private,4 Year,49330,49330,46900,84300,60,2,#4169E1,100%,56%,
14,Saint Joseph's University,Pennsylvania,PA,Private,4 Year,59813,59813,57300,105100,41,6,#4169E1,100%,55%,
4,Saint Louis University,Missouri,MO,Private,4 Year,56174,56174,54200,95300,56,13,#4169E1,100%,57%,
15,Saint Martin's University,Washington,WA,Private,4 Year,48801,48801,53200,91800,60,29,#4169E1,100%,58%,
12,Saint Mary's College,Indiana,IN,Private,4 Year,54800,54800,49700,89300,54,15,#4169E1,100%,56%,
21,Saint Mary's College of California,California,CA,Private,4 Year,62650,62650,59900,110800,51,5,#4169E1,100%,54%,
4,Saint Michael's College,Vermont,VT,Private,4 Year,57595,57595,52900,98500,40,18,#4169E1,100%,54%,
12,Saint Peter's University,New-Jersey,NJ,Private,4 Year,52900,52900,52900,95900,35,14,#4169E1,100%,55%,
20,Saint Xavier University,Illinois,IL,Private,4 Year,45220,45220,49400,91200,60,10,#4169E1,100%,54%,
19,Salisbury University,Maryland,MD,Public,4 Year,21774,31476,50400,89800,51,12,#CD853F,69%,56%,
6,Salve Regina University,Rhode-Island,RI,Private,4 Year,55050,55050,53000,93900,50,6,#4169E1,100%,56%,
5,Samford University,Alabama,AL,Private,4 Year,42200,42200,48400,90500,52,3,#4169E1,100%,53%,
17,San Jose State University,California,CA,Public,4 Year,24238,33742,63000,114700,53,28,#CD853F,72%,55%,
6,Santa Clara University,California,CA,Private,4 Year,66621,66621,69900,134700,44,29,#4169E1,100%,52%,
21,Savannah College of Art and Design,Georgia,GA,Private,4 Year,51180,51180,46800,80100,34,3,#4169E1,100%,58%,
6,Seattle Pacific University,Washington,WA,Private,4 Year,54735,54735,53600,103400,52,9,#4169E1,100%,52%,
1,Seattle University,Washington,WA,Private,4 Year,56898,56898,60600,113700,59,12,#4169E1,100%,53%,
5,Seton Hall University,New-Jersey,NJ,Private,4 Year,58270,58270,57100,103800,45,8,#4169E1,100%,55%,
18,Shenandoah University,Virginia,VA,Private,4 Year,42900,42900,48700,86600,57,7,#4169E1,100%,56%,
4,Shepherd University,West-Virginia,WV,Public,4 Year,18048,28548,47100,87100,48,12,#CD853F,63%,54%,
22,Shorter University,Georgia,GA,Private,4 Year,31770,31770,45600,79900,55,6,#4169E1,100%,57%,
1,Sierra Nevada College,Nevada,NV,Private,4 Year,47598,47598,54000,95500,39,2,#4169E1,100%,57%,
11,Simpson College,Iowa,IA,Private,4 Year,47524,47524,49900,88600,47,17,#4169E1,100%,56%,
24,Smith College,Massachusetts,MA,Private,4 Year,69924,69924,52700,98200,51,26,#4169E1,100%,54%,
10,South Carolina State University,South-Carolina,SC,Public,4 Year,20950,31640,44500,80800,71,16,#CD853F,66%,55%,
1,South Dakota School of Mines and Technology,South-Dakota,SD,Public,4 Year,18219,22461,66500,118500,58,92,#CD853F,81%,56%,
2,South Dakota State University,South-Dakota,SD,Public,4 Year,16660,20024,50500,91900,58,18,#CD853F,83%,55%,
20,Southeast Missouri State University,Missouri,MO,Public,4 Year,16353,22090,43700,79100,52,9,#CD853F,74%,55%,
15,Southeastern Louisiana University,Louisiana,NC,Public,2 Year,2437,8197,46700,83900,51,8,#CD853F,30%,56%,
14,Southeastern Oklahoma State University,Oklahoma,LA,Public,4 Year,16585,29063,45000,80500,53,15,#CD853F,57%,56%,
10,Southern Adventist University,Tennessee,TN,Private,4 Year,28890,28890,47500,84000,67,9,#4169E1,100%,57%,
20,Southern Connecticut State University,Connecticut,CT,Public,4 Year,23735,34975,48500,83600,51,6,#CD853F,68%,58%,
5,Southern Methodist University,Texas,TX,Private,4 Year,71338,71338,59700,110400,46,22,#4169E1,100%,54%,
13,Southern Nazarene University,Oklahoma,OK,Private,4 Year,33684,33684,46100,81000,62,5,#4169E1,100%,57%,
11,Southern New Hampshire University,New-Hampshire,NH,Private,4 Year,44256,44256,47400,83400,49,8,#4169E1,100%,57%,
16,Southern Oregon University,Oregon,OR,Public,4 Year,22853,38783,46000,81200,54,6,#CD853F,59%,57%,
22,Southern University at New Orleans,Louisiana,LA,Public,4 Year,18411,20200,40100,71000,76,13,#CD853F,91%,56%,
8,Southern Utah University,Utah,UT,Public,4 Year,13859,27675,46400,84400,65,7,#CD853F,50%,55%,
9,Southern Vermont College,Vermont,VT,Private,4 Year,36511,36511,42900,78700,63,17,#4169E1,100%,55%,
20,Southern Wesleyan University,South-Carolina,SC,Private,4 Year,34506,34506,42900,74600,52,5,#4169E1,100%,58%,
6,Southwestern Oklahoma State University,Oklahoma,OK,Public,4 Year,12865,19765,47900,90800,58,5,#CD853F,65%,53%,
25,Southwestern University,Texas,TX,Private,4 Year,54000,54000,51800,93500,51,19,#4169E1,100%,55%,
13,Spalding University,Kentucky,KY,Private,4 Year,32100,32100,44800,79200,71,0,#4169E1,100%,57%,
10,Spelman College,Georgia,GA,Private,4 Year,43179,43179,50200,85400,52,24,#4169E1,100%,59%,
6,Spring Hill College,Alabama,AL,Private,4 Year,52926,52926,46600,89100,53,12,#4169E1,100%,52%,
7,St. John's College,Maryland,MD,Private,4 Year,65820,65820,55900,101200,NA,0,#4169E1,100%,55%,
22,St. Mary's University of Minnesota,Minnesota,MN,Private,4 Year,44220,44220,52900,95300,61,17,#4169E1,100%,56%,
4,Stanford University,California,NY,Private,4 Year,59040,59040,79000,145200,56,51,#4169E1,100%,54%,
24,Stephens College,Missouri,MN,Private,4 Year,55309,55309,42800,77200,47,6,#4169E1,100%,55%,
17,Sterling College,Kansas,KS,Private,4 Year,34280,34280,42700,79100,73,7,#4169E1,100%,54%,
21,Stetson University,Florida,FL,Private,4 Year,59082,59082,47000,86000,44,7,#4169E1,100%,55%,
1,Stevens Institute of Technology,New-Jersey,NJ,Private,4 Year,67446,67446,75100,139900,47,79,#4169E1,100%,54%,
15,Stevenson University,Maryland,MD,Private,4 Year,49312,49312,50400,91600,51,15,#4169E1,100%,55%,
25,Stockton University,New-Jersey,NJ,Public,4 Year,26021,33148,47400,85800,49,16,#CD853F,78%,55%,
19,Stonehill College,Massachusetts,MA,Private,4 Year,58746,58746,55900,103200,42,18,#4169E1,100%,54%,
21,SUNY Downstate Medical Center,New-York,NY,Public,4 Year,7481,16931,64000,109300,83,0,#CD853F,44%,59%,
4,SUNY Maritime College,New-York,NY,Public,4 Year,20805,30585,74900,140700,53,32,#CD853F,68%,53%,
4,Swarthmore College,Pennsylvania,PA,Private,4 Year,68062,68062,67500,123200,44,45,#4169E1,100%,55%,
20,Tabor College,Kansas,KS,Private,4 Year,38095,38095,43300,77500,62,7,#4169E1,100%,56%,
10,Taylor University,Indiana,IN,Private,4 Year,43728,43728,48700,90600,59,16,#4169E1,100%,54%,
19,Tennessee State University,Tennessee,TN,Public,4 Year,15814,29170,47200,78400,68,14,#CD853F,54%,60%,
6,Tennessee Technological University,Tennessee,TN,Public,4 Year,18839,35495,53100,95100,48,28,#CD853F,53%,56%,
20,Texas A&M University-Kingsville,Texas,TX,Public,4 Year,17222,29672,53100,97500,63,53,#CD853F,58%,54%,
19,Texas Christian University,Texas,TX,Private,4 Year,59754,59754,56000,98700,51,9,#4169E1,100%,57%,
7,Texas Tech University,Texas,TX,Public,4 Year,20575,33025,56800,106500,54,22,#CD853F,62%,53%,
8,Texas Tech University Health Sciences Center,Texas,TX,Public,4 Year,7911,20361,61300,104900,86,3,#CD853F,39%,58%,
6,The College of New Jersey,New-Jersey,NJ,Public,4 Year,30168,41883,58200,101800,44,16,#CD853F,72%,57%,
2,The King's University,Texas,TX,Private,4 Year,15000,15000,63800,116500,33,0,#4169E1,100%,55%,
8,Thomas College,Maine,ME,Private,4 Year,38150,38150,46100,81500,49,3,#4169E1,100%,57%,
13,Thomas Edison State University,New-Jersey,NJ,Public,4 Year,7519,9967,52500,95600,54,0,#CD853F,75%,55%,
2,Thomas More College,Kentucky,KY,Private,4 Year,39070,39070,50000,90900,56,8,#4169E1,100%,55%,
5,Thomas More College of Liberal Arts,New-Hampshire,NH,Private,4 Year,31300,31300,48900,88300,NA,0,#4169E1,100%,55%,
12,Tougaloo College,Mississippi,MS,Private,4 Year,17433,17433,36900,66400,69,18,#4169E1,100%,56%,
16,Towson University,Maryland,MD,Public,4 Year,22974,36242,51200,91200,47,15,#CD853F,63%,56%,
7,Transylvania University,Kentucky,KY,Private,4 Year,49210,49210,47900,85600,51,25,#4169E1,100%,56%,
14,Trevecca Nazarene University,Tennessee,TN,Private,4 Year,33998,33998,45300,81700,65,5,#4169E1,100%,55%,
6,Trine University,Indiana,IN,Private,4 Year,42985,42985,55100,100300,56,26,#4169E1,100%,55%,
5,Trinity College,Connecticut,CT,Private,4 Year,71660,71660,60100,110900,49,22,#4169E1,100%,54%,
11,Trinity University,Texas,TX,Private,4 Year,56440,56440,54900,102900,46,27,#4169E1,100%,53%,
11,Troy University,Alabama,AL,Public,4 Year,20645,31060,44500,81500,60,8,#CD853F,66%,55%,
12,Truman State University,Missouri,MO,Public,4 Year,16509,23361,47900,85800,48,16,#CD853F,71%,56%,
7,Tufts University,Massachusetts,MA,Private,4 Year,70942,70942,65200,118100,49,25,#4169E1,100%,55%,
4,Tuskegee University,Alabama,AL,Private,4 Year,31820,31820,54500,93500,61,30,#4169E1,100%,58%,
12,Union University,Tennessee,TN,Private,4 Year,43090,43090,46400,83000,59,6,#4169E1,100%,56%,
15,Unity College,Maine,ME,Private,4 Year,39870,39870,38200,69500,NA,23,#4169E1,100%,55%,
8,University of Alabama at Birmingham,Alabama,AL,Public,4 Year,17110,31030,48600,87200,57,17,#CD853F,55%,56%,
2,University of Alabama in Huntsville,Alabama,AL,Public,4 Year,20808,32456,57500,103900,59,45,#CD853F,64%,55%,
2,University of Alaska Anchorage,Alaska,AK,Public,4 Year,19888,36058,56000,101000,57,10,#CD853F,55%,55%,
1,University of Alaska Fairbanks,Alaska,AK,Public,4 Year,17017,33187,59100,101800,54,20,#CD853F,51%,58%,
2,University of Arizona,Arizona,AZ,Public,4 Year,25037,48936,56100,101000,51,23,#CD853F,51%,56%,
1,University of Arkansas,Arkansas,AR,Public,4 Year,20150,36188,52500,98000,49,18,#CD853F,56%,54%,
7,University of Arkansas at Little Rock,Arkansas,AR,Public,4 Year,17896,30136,45600,80800,55,13,#CD853F,59%,56%,
12,University of Arkansas at Monticello,Arkansas,AR,Public,4 Year,14520,20370,43500,78300,61,2,#CD853F,71%,56%,
17,University of Arkansas at Pine Bluff,Arkansas,AR,Public,4 Year,15723,21975,40500,70500,67,22,#CD853F,72%,57%,
3,University of Arkansas for Medical Sciences,Arkansas,AR,Public,4 Year,8197,15973,51700,89100,84,3,#CD853F,51%,58%,
