rank,name,state_name,state_code,type,degree_length,in_state_total,out_of_state_total,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,,average_cost_state,average_early_career,average_mid_career,color,,,,
1,Albany College of Pharmacy and Health Sciences,New-York,NY,Private,4 Year,46025,46025,81000,144800,82,2,59148,60216,67438,124483,Olive,59148,60216,67438,124483
3,California Institute of Technology,California,CA,Private,4 Year,67887,67887,84100,151600,53,97,59333,60064,67746,124146,Olive,59333,60064,67746,124146
10,Amherst College,Massachusetts,MA,Private,4 Year,71166,71166,63800,116500,45,32,61842,62586,62609,114281,Olive,61842,62586,62609,114281
5,Bucknell University,Pennsylvania,PA,Private,4 Year,69754,69754,66700,122900,40,40,62044,62044,61436,113457,Olive,62044,62044,61436,113457
24,Amberton University,Texas,TX,Private,4 Year,12840,12840,52800,93600,57,0,35166,40801,56711,102941,Olive,35166,40801,56711,102941
6,Bradley University,Illinois,IL,Private,4 Year,44380,44380,55600,104900,46,38,44194,46259,55545,100825,Olive,44194,46259,55545,100825
1,Brown University,Rhode-Island,RI,Private,4 Year,70326,70326,68200,127600,45,43,50640,53916,55822,100744,Olive,50640,53916,55822,100744
23,Bloomfield College,New-Jersey,NJ,Private,4 Year,41500,41500,48400,89100,55,17,39308,43899,54847,100400,Olive,39308,43899,54847,100400
1,University of Wyoming,Wyoming,WY,Public,4 Year,15720,27810,52400,98800,58,25,15720,27810,52400,98800,Olive,15720,27810,52400,98800
18,Albertus Magnus College,Connecticut,CT,Private,4 Year,45260,45260,49700,85900,62,2,47129,51033,54538,98483,Olive,47129,51033,54538,98483
3,Alaska Pacific University,Alaska,AK,Private,4 Year,28130,28130,50300,90000,67,6,21678,32458,55133,97600,Olive,21678,32458,55133,97600
25,Ferrum College,Virginia,VA,Private,4 Year,45675,45675,43000,80600,54,6,36422,46016,53718,96559,Olive,36422,46016,53718,96559
10,Centenary College of Louisiana,Louisiana,LA,Private,4 Year,49980,49980,47000,88400,37,26,39625,42511,52623,96357,Olive,39625,42511,52623,96357
7,Butler University,Indiana,IN,Private,4 Year,54950,54950,51800,99300,53,9,47186,48624,52684,95789,Olive,47186,48624,52684,95789
3,Carroll College,Montana,MT,Private,4 Year,45366,45366,48200,91400,55,25,29199,37346,52275,95775,Olive,29199,37346,52275,95775
1,Sierra Nevada College,Nevada,NV,Private,4 Year,47598,47598,54000,95500,39,2,47598,47598,54000,95500,Olive,47598,47598,54000,95500
22,Bastyr University,Washington,WA,Private,4 Year,33756,33756,48400,86300,NA,0,37876,41727,52010,94263,Olive,37876,41727,52010,94263
7,Albion College,Michigan,MI,Private,4 Year,58155,58155,52100,99300,44,23,34725,38666,51695,93463,Olive,34725,38666,51695,93463
6,Western Governors University,Utah,UT,Private,4 Year,6670,6670,54500,91500,57,9,11945,23481,52183,92833,Olive,11945,23481,52183,92833
,,Average,Average,,,,,,,,,36583,40937,50991,92162,Darkred,36583,40937,50991,92162
22,St. Mary's University of Minnesota,Minnesota,MN,Private,4 Year,44220,44220,52900,95300,61,17,22620,29384,49925,91550,Olive,22620,29384,49925,91550
12,Augsburg University,Minnesota,MN,Private,4 Year,49080,49080,50500,91000,52,11,43564,45690,50390,91470,Olive,43564,45690,50390,91470
17,Colorado Christian University,Colorado,CO,Private,4 Year,43712,43712,46800,80100,70,2,30291,39578,50907,91407,Olive,30291,39578,50907,91407
6,Bellin College,Wisconsin,WI,Private,4 Year,22178,22178,55800,97600,94,0,32609,37252,50681,91100,Olive,32609,37252,50681,91100
21,Corban University,Oregon,OR,Private,4 Year,43268,43268,42500,77300,63,1,37759,45019,50463,90763,Olive,37759,45019,50463,90763
14,Adventist University of Health Sciences,Florida,FL,Private,4 Year,19350,19350,51600,89800,88,5,35528,42760,50250,90455,Olive,35528,42760,50250,90455
9,Colby-Sawyer College,New-Hampshire,NH,Private,4 Year,56662,56662,46400,83700,43,7,40097,42950,50408,89775,Olive,40097,42950,50408,89775
24,Barton College,North-Carolina,NC,Private,4 Year,41000,41000,42400,77900,62,6,37564,41459,49480,88961,Olive,37564,41459,49480,88961
6,Bennington College,Vermont,VT,Private,4 Year,69970,69970,48800,90000,50,5,42776,48296,48883,88433,Olive,42776,48296,48883,88433
1,Brigham Young University-Hawaii,Hawaii,HI,Private,4 Year,12146,12146,51700,93900,57,12,27343,34341,48980,88040,Olive,27343,34341,48980,88040
2,Brigham Young University-Idaho,Idaho,ID,Private,4 Year,8710,8710,53700,93500,59,14,18227,28536,49666,87933,Olive,18227,28536,49666,87933
5,Allen College,Iowa,IA,Private,4 Year,27252,27252,51600,91300,NA,0,39027,41154,48386,87160,Olive,39027,41154,48386,87160
17,Avila University,Missouri,MO,Private,4 Year,27100,27100,45900,81200,68,3,30102,33353,48350,86331,Olive,30102,33353,48350,86331
14,Agnes Scott College,Georgia,GA,Private,4 Year,53490,53490,46000,83600,57,26,32171,39132,48308,86321,Olive,32171,39132,48308,86321
2,Goldey-Beacom College,Delaware,DE,Private,4 Year,30700,30700,49800,86900,42,25,25326,31259,49040,85620,Olive,25326,31259,49040,85620
3,Bates College,Maine,ME,Private,4 Year,69018,69018,59500,111900,50,23,35395,40241,47594,85429,Olive,35395,40241,47594,85429
3,Augustana University,South-Dakota,SD,Private,4 Year,41266,41266,47900,88400,54,18,23735,25731,47110,85170,Olive,23735,25731,47110,85170
15,Appalachian State University,North-Carolina,TN,Private,4 Year,15518,30325,46600,82700,47,9,33647,38929,47333,84566,Olive,33647,38929,47333,84566
10,Baker University,Kansas,KS,Private,4 Year,38240,38240,47800,84200,55,2,29123,33972,46822,84550,Olive,29123,33972,46822,84550
10,Bellevue University,Nebraska,NE,Private,4 Year,18120,18120,49400,84800,57,23,27327,29389,46790,83036,Olive,27327,29389,46790,83036
24,Benedict College,South-Carolina,SC,Private,4 Year,22800,22800,38100,67500,61,19,31606,36657,45317,81852,Olive,31606,36657,45317,81852
21,Mid-America Christian University,Oklahoma,OK,Private,4 Year,26370,26370,40700,74100,71,0,23775,28234,45111,81261,Olive,23775,28234,45111,81261
3,University of Jamestown,North-Dakota,ND,Private,4 Year,29546,29546,47600,85400,64,11,18391,22265,46042,80814,Olive,18391,22265,46042,80814
24,Amridge University,Alabama,AL,Private,4 Year,6900,6900,35700,65900,NA,0,23918,29861,44304,80481,Olive,23918,29861,44304,80481
5,Arizona Christian University,Arizona,AZ,Private,4 Year,37470,37470,42600,76600,NA,7,24825,30696,44658,80120,Olive,24825,30696,44658,80120
16,Ohio Valley University,West-Virginia,WV,Private,4 Year,29880,29880,38800,71100,81,1,21198,28149,44333,80040,Olive,21198,28149,44333,80040
18,Central Baptist College,Arkansas,AR,Private,4 Year,23700,23700,36900,68000,NA,3,24684,28629,44375,79562,Olive,24684,28629,44375,79562
20,Asbury University,Kentucky,KY,Private,4 Year,37358,37358,39400,70800,59,4,32190,36316,43754,79012,Olive,32190,36316,43754,79012
7,Belhaven University,Mississippi,MS,Private,4 Year,33800,33800,41200,74300,60,2,21584,24711,42042,75707,Olive,21584,24711,42042,75707